Council,Year,Sum
Wodonga,2016,1422
Wodonga,2017,1313
Wodonga,2018,1290
Wodonga,2019,1157
Wodonga,2020,1207
Wodonga,2021,1364
Wodonga,2022,1260
Wodonga,2023,1334
Wodonga,2024,1492
Wyndham,2016,4003
Wyndham,2017,4338
Wyndham,2018,4410
Wyndham,2019,4707
Wyndham,2020,5218
Wyndham,2021,6502
Wyndham,2022,4990
Wyndham,2023,5890
Wyndham,2024,6174
Yarra,2016,3408
Yarra,2017,3393
Yarra,2018,3251
Yarra,2019,3259
Yarra,2020,3229
Yarra,2021,4840
Yarra,2022,3091
Yarra,2023,3092
Yarra,2024,3391
Yarra Ranges,2016,2524
Yarra Ranges,2017,2767
Yarra Ranges,2018,2535
Yarra Ranges,2019,2507
Yarra Ranges,2020,2462
Yarra Ranges,2021,3175
Yarra Ranges,2022,2242
Yarra Ranges,2023,2492
Yarra Ranges,2024,2513
Yarriambiack,2016,192
Yarriambiack,2017,182
Yarriambiack,2018,139
Yarriambiack,2019,162
Yarriambiack,2020,163
Yarriambiack,2021,182
Yarriambiack,2022,160
Yarriambiack,2023,142
Yarriambiack,2024,184
